2023-04-25 13:33:05,702 {yyyy-MM-dd HH:mm:ss.SSS} | INFO  | com.zaxxer.hikari.HikariDataSource | HikariPool-1 - Shutdown completed.
2023-04-25 13:33:09,503 {yyyy-MM-dd HH:mm:ss.SSS} | INFO  | com.av.shop.task_25_springboot.App | Starting App using Java 19.0.2 with PID 6252 (E:\Own\Hillel\HomeWork\Lesson_36_SpringBoot\Task_25_SpringBoot\target\classes started by Admin in E:\Own\Hillel\HomeWork\Lesson_36_SpringBoot\Task_25_SpringBoot)
2023-04-25 13:33:09,507 {yyyy-MM-dd HH:mm:ss.SSS} | INFO  | com.av.shop.task_25_springboot.App | No active profile set, falling back to 1 default profile: "default"
2023-04-25 13:33:09,897 {yyyy-MM-dd HH:mm:ss.SSS} | INFO  | o.s.data.repository.config.RepositoryConfigurationDelegate | Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-04-25 13:33:09,914 {yyyy-MM-dd HH:mm:ss.SSS} | INFO  | o.s.data.repository.config.RepositoryConfigurationDelegate | Finished Spring Data repository scanning in 11 ms. Found 0 JPA repository interfaces.
2023-04-25 13:33:10,304 {yyyy-MM-dd HH:mm:ss.SSS} | INFO  | o.springframework.boot.web.embedded.tomcat.TomcatWebServer | Tomcat initialized with port(s): 8080 (http)
2023-04-25 13:33:10,310 {yyyy-MM-dd HH:mm:ss.SSS} | INFO  | org.apache.catalina.core.StandardService | Starting service [Tomcat]
2023-04-25 13:33:10,311 {yyyy-MM-dd HH:mm:ss.SSS} | INFO  | org.apache.catalina.core.StandardEngine | Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-25 13:33:10,374 {yyyy-MM-dd HH:mm:ss.SSS} | INFO  | o.a.catalina.core.ContainerBase.[Tomcat].[localhost].[/] | Initializing Spring embedded WebApplicationContext
2023-04-25 13:33:10,374 {yyyy-MM-dd HH:mm:ss.SSS} | INFO  | o.s.b.web.servlet.context.ServletWebServerApplicationContext | Root WebApplicationContext: initialization completed in 836 ms
2023-04-25 13:33:10,487 {yyyy-MM-dd HH:mm:ss.SSS} | INFO  | org.hibernate.jpa.internal.util.LogHelper | HHH000204: Processing PersistenceUnitInfo [name: default]
